Phrasenum,Word,Minimal Pair,Carrier,Has Image,Needs New Image,Can't Image,Verified w/ Native?,IPA,Gloss,Gloss 2,Syllable,Segment,Type,Position,Position 2,Contrast (IPA),Contrast,Experiment,Frequency (ARALEX2.0),Frequency (ARALEX),New Carrier,Context Phrase,Source,Notes
23,حِجّة,عِجّة,قال حِجّة واحد و خمسين مرة,,,,X,ħɪdʒːa,pilgrimage,argument,CVCːV,ħ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « حِجّة » واحد و خَمسين مَرة,,Lisaaniyat,
24,حِلَل,حِلَل,قال حِلَل واحد و خمسين مرة,X,,,X,ħɪlal,pots and pans,analyze,CVCVC,ħ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « حِلَل » واحد و خَمسين مَرة,,Lisaaniyat,
25,عِلَل,عِلَل,قال عِلَل واحد و خمسين مرة,,,X,X,ʕɪlal,internal sickness,"explain, justify",CVCVC,ʕ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « عِلَل » واحد و خَمسين مَرة,,Lisaaniyat,
26,عاش,حاش,قال عاش واحد و خمسين مرة,x,,,X,ʕaːʃ,live in,,CVːC,ʕ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « عاش » واحد و خَمسين مَرة,,Lisaaniyat,
27,حاش,عاش,قال حاش واحد و خمسين مرة,,,X,X,ħaːʃ,distancing (god forbid),"to harvest, weed out",CVːC,ħ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « حاش » واحد و خَمسين مَرة,,Lisaaniyat,
28,ساعة,ساحة,قال ساعة واحد و خمسين مرة,X,,,X,saːʕa,hour,,CVːCV,ʕ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « ساعة » واحد و خَمسين مَرة,,Lisaaniyat,
29,ساحة,ساعة,قال ساحة واحد و خمسين مرة,X,,,X,saːħa,plaza,,CVːCV,ħ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « ساحة » واحد و خَمسين مَرة,,Lisaaniyat,
30,زَحَف,زَعَف,قال زَحَف واحد و خمسين مرة,x,,,X,zaħaf,"it crawled, creeped",,CVCVC,ħ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « زَحَف » واحد و خَمسين مَرة,,Lisaaniyat,
31,زَعَف,زَحَف,قال زَعَف واحد و خمسين مرة,X,,,X,zaʕaf,the leaves of the palm tree,,CVCVC,ʕ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « زَعَف » واحد و خَمسين مَرة,,Lisaaniyat,
32,صين,سين,قال صين واحد و خمسين مرة,X,,,X,sˤin,China,,CVC,sˤ,pharyngeal,Initial,CV,s - sˤ,plain-pharyngealized,Pilot (157),,,يقول « صين » واحد و خَمسين مَرة,,Hermes et al. 2015,
33,سين,صين,قال سين واحد و خمسين مرة,X,,,X,sin,Letter name for /s/ in Arabic,,CVC,s,plain,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « سين » واحد و خَمسين مَرة,,Hermes et al. 2016,
34,نَسَّفَ,نَصَّف,قال نَسَّفَ واحد و خمسين مرة,X,,,X,nasːaf,he detonated a bomb,to obliterate,CVCːVC,s,plain,Medial,VCV,s - sˤ,plain-pharyngealized,Pilot (157),,,يقول « نَسَّف » واحد و خَمسين مَرة,,Hermes et al. 2017,
35,نَصَّفَ,نَسَّف,قال نَصَّفَ واحد و خمسين مرة,X,,,X,nasˤːaf,it was divided in half,,CVCːVC,sˤ,pharyngeal,Medial,VCV,redundant,plain-pharyngealized,Pilot (157),,,يقول « نَصَّف » واحد و خَمسين مَرة,,Hermes et al. 2018,
36,ألم,عَلم,قال أَلم واحد و خمسين مرة,X,,,X,ʔalam,pain,,CVCVC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « أَلم » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,
37,عَلم,ألم,قال عَلم واحد و خمسين مرة,X,,,X,ʕalam,flag,,CVCVC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عَلم » واحد و خَمسين مَرة,,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,
38,تاء,تاه,قال تاء واحد و خمسين مرة,X,,,X,taːʔ,the letter /t/ in Arabic,,CVːC,ʔ,laryngeal,Final,VC,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « تاء » واحد و خَمسين مَرة,,Zainab,
39,تاه,تاء,قال تاه واحد و خمسين مرة,X,,,X,taːh,he got lost,,CVːC,h,laryngeal,Final,VC,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « تاه » واحد و خَمسين مَرة,,Zainab,
40,شاء,شاه,قال شاء واحد و خمسين مرة,,,X,X,ʃaːʔ,to will something,,CVːC,ʔ,laryngeal,Final,VC,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « شاء » واحد و خَمسين مَرة,,Zainab,
41,شاه,شاء,قال شاه واحد و خمسين مرة,,,X,X,ʃaːh,shah,,CVːC,h,laryngeal,Final,VC,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « شاه » واحد و خَمسين مَرة,,Zainab,
42,مُسائلة,مُساهَلة,قال مُسائلة واحد و خمسين مرة,X,,,X,musaːʔala,"interrogation, questioning",,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « مُسائلة » واحد و خَمسين مَرة,,Zainab,
43,مُساهَلة,مُسائلة,قال مُساهَلة واحد و خمسين مرة,,,X,X,musaːhala,easying up,,CVCVːCVCV,h,laryngeal,Medial,VCV,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « مُساهَلة » واحد و خَمسين مَرة,,Zainab,
44,أَمْس,هَمْس,قال أَمْس واحد و خمسين مرة,X,,,X,ʔams,yesterday,,CVCC,ʔ,laryngeal,Initial,CV,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « أَمْس » واحد و خَمسين مَرة,,Zainab,
45,هَمْس,أَمْس,قال هَمْس واحد و خمسين مرة,X,,,X,hams,whisper,,CVCC,h,laryngeal,Initial,CV,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « هَمْس » واحد و خَمسين مَرة,,Zainab,
46,مَأموم,مَهموم,قال مَأموم واحد و خمسين مرة,,,X,X,maʔmuːm,the one being lead,,CVCCVːC,ʔ,laryngeal,Medial,VCV,ʔ - h,laryngeal-laryngeal,Pilot (157),,,يقول « مَأموم » واحد و خَمسين مَرة,,Zainab,
47,مَهموم,مَأموم,قال مَهموم واحد و خمسين مرة,X,,,X,mahmuːm,"concerned, worried",,CVCCVːC,h,laryngeal,Medial,VCV,redundant,laryngeal-laryngeal,Pilot (157),,,يقول « مَهموم » واحد و خَمسين مَرة,,Zainab,
48,يَلقَ,حَلقة,قال يَلقَ واحد و خمسين مرة,X,,,X,jalqa,he found,,CVCCV,j,sonorant,Initial,CV,j - ħ,sonorant-pharyngeal,Pilot (157),,,يقول « يَلقَ » واحد و خَمسين مَرة,,Zainab,
49,حَلقة,يَلقَ,قال حَلقة واحد و خمسين مرة,X,,,X,ħalqa,link,,CVCCV,ħ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « حَلقة » واحد و خَمسين مَرة,,Zainab,
50,رَبِحَ,رَبِيَ,قال رَبِحَ واحد و خمسين مرة,X,,,X,ɾabɪħa,he won,,CVCVCV,ħ,pharyngeal,Final,VC,j - ħ,sonorant-pharyngeal,Pilot (157),,,يقول « رَبِحَ » واحد و خَمسين مَرة,,Zainab,
51,رَبِيَ,رَبِحَ,قال رَبِيَ واحد و خمسين مرة,X,,,X,ɾabɪja,he grew up,,CVCVCV,j,sonorant,Final,VC,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « رَبِيَ » واحد و خَمسين مَرة,,Zainab,
52,وباء,هباء,قال وباء واحد و خمسين مرة,,X,,X,wabaːʔ,pandemic,plague,CVCVːC,w,sonorant,Initial,CV,w - h,sonorant-laryngeal,Pilot (157),,,يقول « وباء » واحد و خَمسين مَرة,,Zainab,
53,هباء,وباء,قال هباء واحد و خمسين مرة,,,X,X,habaːʔ,in vain,dust in the wind,CVCVːC,h,laryngeal,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « هباء » واحد و خَمسين مَرة,,Zainab,
54,وَرَم,هَرَم,قال وَرَم واحد و خمسين مرة,X,,,X,waɾam,tumor,to swell,CVCVC,w,sonorant,Initial,CV,w - h,sonorant-laryngeal,Pilot (157),,,يقول « وَرَم » واحد و خَمسين مَرة,,Zainab,
55,هَرَم,وَرَم,قال هَرَم واحد و خمسين مرة,X,,,X,haɾam,pyramid,,CVCVC,h,laryngeal,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « هَرَم » واحد و خَمسين مَرة,,Zainab,
56,شاوِر,شاهِر,قال شاوِر واحد و خمسين مرة,,,X,X,ʃaːwɪɾ,consult,,CVːCVC,w,sonorant,Medial,VCV,w - h,sonorant-laryngeal,Pilot (157),,,يقول « شاوِر » واحد و خَمسين مَرة,,Zainab,
57,شاهِر,شاوِر,قال شاهِر واحد و خمسين مرة,X,,,X,ʃaːhɪɾ,brandish (sword),"make famous, make public",CVːCVC,h,laryngeal,Medial,VCV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « شاهِر » واحد و خَمسين مَرة,,Zainab,
58,يَوم,عَوم,قال يَوم واحد و خمسين مرة,X,,,X,ja͡ʊm,day,,CVC,j,sonorant,Initial,CV,j - ʕ,sonorant-pharyngeal,Pilot (157),,,يقول « يَوم » واحد و خَمسين مَرة,,Zainab,
59,عَوم,يَوم,قال عَوم واحد و خمسين مرة,X,,,X,ʕa͡ʊm,swimming,,CVC,ʕ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « عَوم » واحد و خَمسين مَرة,,Zainab,
60,عَم,يَم,قال عَم واحد و خمسين مرة,X,,,X,ʕam,generalized,,CVC,ʕ,pharyngeal,Initial,CV,j - ʕ,sonorant-pharyngeal,Pilot (157),,,يقول « عَم » واحد و خَمسين مَرة,,Zainab,
61,يَم,عَم,قال يَم واحد و خمسين مرة,X,,,X,yam,see(?),,CVC,j,sonorant,Initial,CV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « يَم » واحد و خَمسين مَرة,,Zainab,
62,نَعى,نَوى,قال نَعى واحد و خمسين مرة,X,,,X,naʕa,eulogize,,CVCV,ʕ,pharyngeal,Medial,VCV,w - ʕ,sonorant-pharyngeal,Pilot (157),,,يقول « نَعى » واحد و خَمسين مَرة,,Zainab,
63,نَوى,نَعى,قال نَوى واحد و خمسين مرة,,,X,X,nawa,intend,,CVCV,w,sonorant,Medial,VCV,redundant,sonorant-pharyngeal,Pilot (157),,,يقول « نَوى » واحد و خَمسين مَرة,,Zainab,
64,وليمة,أليمة,قال وَليمة واحد و خمسين مرة,X,,,X,waliːma,feast,,CVCVːCV,w,sonorant,Initial,CV,w - ʔ,sonorant-laryngeal,Pilot (157),,,يقول « وَليمة » واحد و خَمسين مَرة,,Zainab,
65,أليمة,وليمة,قال أَليمة واحد و خمسين مرة,X,,,X,ʔaliːma,painful (causing me pain),,CVCVːCV,ʔ,laryngeal,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « أَليمة » واحد و خَمسين مَرة,,Zainab,
66,وَقود,أقود,قال وَقود واحد و خمسين مرة,X,,,X,waquːd ,fuel,,CVCVːC,w,sonorant,Initial,CV,w - ʔ,sonorant-laryngeal,Pilot (157),,,يقول « وَقود » واحد و خَمسين مَرة,,Zainab,
67,أقود,وَقود,قال أَقود واحد و خمسين مرة,X,,,X,ʔaquːd,drive,,CVCVːC,ʔ,laryngeal,Initial,CV,redundant,sonorant-laryngeal,Pilot (157),,,يقول « أَقود » واحد و خَمسين مَرة,,Zainab,
68,بَيد,بَعد,قال بَيد واحد و خمسين مرة,,,X,X,ba͡ɪd,although,,CVC,d,plain,Final,VC,d - dˤ,plain-pharyngealized,Pilot (157),,,يقول « بَيد » واحد و خَمسين مَرة,,Zainab,
69,بَيض,بَيد,قال بَيض واحد و خمسين مرة,X,,,X,ba͡ɪdˤ,egg,,CVC,dˤ,pharyngealized,Final,VC,redundant,plain-pharyngealized,Pilot (157),,,يقول « بَيض » واحد و خَمسين مَرة,,Zainab,
70,أليف,حَليف,قال أليف واحد و خمسين مرة,X,,,X,ʔaliːf,domestic,pet animal,CVCVːC,ʔ,laryngeal,Initial,CV,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « أليف » واحد و خَمسين مَرة,,Zainab,
71,حَليف,أليف,قال حَليف واحد و خمسين مرة,,,,X,ħaliːf,ally,,CVCVːC,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « حَليف » واحد و خَمسين مَرة,,Zainab,
72,سماء,سماح,قال سَماء واحد و خمسين مرة,,,,X,samaːʔ,sky,,CVCVːC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « سَماء » واحد و خَمسين مَرة,,Zainab,
73,سماح,سماء,قال سَماح واحد و خمسين مرة,,,,X,samaːħ,permission,,CVCVːC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « سَماح » واحد و خَمسين مَرة,,Zainab,
74,ساء,ساح,قال ساء واحد و خمسين مرة,,,,X,saːʔ,deteriorate,,CVːC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « ساء » واحد و خَمسين مَرة,,Zainab,
75,ساح,ساء,قال ساح واحد و خمسين مرة,,,,X,saːħ,it melted,become a tourist,CVːC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « ساح » واحد و خَمسين مَرة,,Zainab,
76,يتألّم,يتحَلَّم,قال يتألّم واحد و خمسين مرة,,,,X,jataʔalːam,he was in pain,,CVCVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « يتألّم » واحد و خَمسين مَرة,,Zainab,
77,يتحَلَّم,يتألّم,قال يتحَلَّم واحد و خمسين مرة,,,,X,jataħalːam,he became patient,to day dream,CVCVCVCːVC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « يتحَلَّم » واحد و خَمسين مَرة,,Zainab,
78,بَراء,بَراح,قال بَراء واحد و خمسين مرة,,,,X,baraːʔ,innocence,,CVCVːC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « بَراء » واحد و خَمسين مَرة,,Zainab,
79,بَراح,بَراء,قال بَراح واحد و خمسين مرة,,,,X,baraːħ,spacious,,CVCVːC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « بَراح » واحد و خَمسين مَرة,,Zainab,
80,مَليئة,مَليحة,قال مَليئة واحد و خمسين مرة,,,,X,maliːʔa,full,,CVCVːCV,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « مَليئة » واحد و خَمسين مَرة,,Zainab,
81,مَليحة,مَليئة,قال مَليحة واحد و خمسين مرة,,,,X,maliːħa,beautiful,salty,CVCVːCV,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « مَليحة » واحد و خَمسين مَرة,,Zainab,
82,سبأ,سَبَح,قال سبأ واحد و خمسين مرة,,,,X,sabaʔ,region in Yemen,,CVCVC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « سبأ » واحد و خَمسين مَرة,,Zainab,
83,سَبَحَ,سبأ,قال سَبَحَ واحد و خمسين مرة,,,,X,sabaħ,he swam,,CVCVC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « سَبَح » واحد و خَمسين مَرة,,Zainab,
84,مُكافأة,مُكافَحة,قال مُكافأة واحد و خمسين مرة,,,,X,mʊkæːfaʔa,award,reward,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « مُكافأة » واحد و خَمسين مَرة,,Zainab,
85,مُكافَحة,مُكافأة,قال مُكافَحة واحد و خمسين مرة,,,,X,mʊkæːfaħa,fighting against,struggle,CVCVːCVCV,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « مُكافَحة » واحد و خَمسين مَرة,,Zainab,
86,مَأمور,مَحمور,قال مَأمور واحد و خمسين مرة,,,,X,maʔmuːr,an official,,CVCCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « مَأمور » واحد و خَمسين مَرة,,Zainab,
87,مَحمور,مَأمور,قال مَحمور واحد و خمسين مرة,,,,X,maħmuːr,reddish,,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « مَحمور » واحد و خَمسين مَرة,,Zainab,
88,أليم,عَليم,قال أَليم واحد و خمسين مرة,,,,X,ʔaliːm,painful,,CVCVːC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « أَليم » واحد و خَمسين مَرة,,Zainab,
89,عَليم,أليم,قال عَليم واحد و خمسين مرة,,,,X,ʕaliːm,knowledgeable,,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عَليم » واحد و خَمسين مَرة,,Zainab,
90,مُفاجَئة,مُفاجَعة,قال مُفاجَئة واحد و خمسين مرة,,,,X,mʊfæːdʒaʔa,surprise,,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « مُفاجَئة » واحد و خَمسين مَرة,,Zainab,
91,مُفاجَعة,مُفاجَئة,قال مُفاجَعة واحد و خمسين مرة,,,,X,mʊfæːdʒæʕa,calamitous,,CVCVːCVCV,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « مُفاجَعة » واحد و خَمسين مَرة,,Zainab,
92,تَأثّر,تَعَثّر,قال تَأثّر واحد و خمسين مرة,X,,,X,taʔaθːɪr,he was affected,,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « تَأثّر » واحد و خَمسين مَرة,,Zainab,
93,تَعَثّر,تَأثّر,قال تَعَثّر واحد و خمسين مرة,X,,,X,taʕaθːɪr,he stumbled,,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « تَعَثّر » واحد و خَمسين مَرة,,Zainab,
94,تألّم,تَعَلّم,قال تألّم واحد و خمسين مرة,X,,,X,taʔalːam,he was in pain,,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « تألّم » واحد و خَمسين مَرة,,Zainab,
95,تَعَلّم,تألّم,قال تَعَلّم واحد و خمسين مرة,X,,,X,taʕalːam,he learned,,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « تَعَلّم » واحد و خَمسين مَرة,,Zainab,
96,شاء,شاع,قال شاء واحد و خمسين مرة,,,X,X,ʃæːʔ,he willed,,CVːC,ʔ,laryngeal,Final,VC,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « شاء » واحد و خَمسين مَرة,,Zainab,
97,شاع,شاء,قال شاع واحد و خمسين مرة,,X,,X,ʃæːʕ,Shah (ruler),,CVːC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « شاع » واحد و خَمسين مَرة,,Zainab,
98,جاء,جاع,قال جاء واحد و خمسين مرة,X,X,,X,dʒæːʔ,he came,,CVːC,ʔ,laryngeal,Final,VC,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « جاء » واحد و خَمسين مَرة,,Zainab,
99,جاع,جاء,قال جاع واحد و خمسين مرة,X,,,X,dʒæːʕ,he became hungry,,CVːC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « جاع » واحد و خَمسين مَرة,,Zainab,
100,أضاء,أضاع,قال أَضاء واحد و خمسين مرة,X,,,X,ʔadˤɑːʔ,he lit [something],,CVCVC,ʔ,laryngeal,Final,VC,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « أَضاء » واحد و خَمسين مَرة,,Zainab,
101,أضاع,أضاء,قال أَضاع واحد و خمسين مرة,X,,,X,ʔadˤɑːʕ,he lost [something],,CVCVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « أَضاع » واحد و خَمسين مَرة,,Zainab,
102,سُؤال,سُعال,قال سُؤال واحد و خمسين مرة,X,,,X,sʊʔæːl,question,,CVCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « سُؤال » واحد و خَمسين مَرة,,Zainab,
